clf,pattern,imp_type,metric,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,k21,k22,k34,k24,k25
lgbm,all,imp,accuracy,0.8897643720176409,0.9003428347278366,0.9152712514940271,0.9186226260457605,0.926139091466877,0.9323505319226133,0.9327211221879986,0.9347030037407114,0.9380383440385431,0.9386586951985689,0.9388198276374823,0.9397704549607907,0.9405358231739573,0.9407533526479975,0.9416234393895208,0.942066523902267,0.9420423712688393,0.9417926207590781,0.9418973600571936,0.9417523514417679,0.9417120626528087,0.9420665414267511,0.9419779266011776,0.9425660573745379,0.9426546728491662
lgbm,all,imp,precision,0.8310096924880362,0.8955166328676123,0.8947793117703879,0.8615449751500384,0.8643633786077418,0.8743007955580548,0.8753175868792894,0.881283524100407,0.8903221929909012,0.8947777910738463,0.8926112076205698,0.89468918234077,0.8961966369452746,0.897354901138141,0.8971150402052146,0.8979327113652538,0.8972007899484987,0.8967101878901402,0.8968421948235761,0.8962714004984473,0.8961979605308132,0.8979520677439957,0.897949974218313,0.8997585270677595,0.898280195656527
lgbm,all,imp,recall,0.5591820047435154,0.5512659969938951,0.6388482026942233,0.6934793500380401,0.7374567795090028,0.7633628205154638,0.7642744112013492,0.7691242124781535,0.7780352794667359,0.7767919450956298,0.779942221479974,0.783258077618538,0.7860353743095546,0.7859938462130568,0.7912994084694638,0.7929156538072174,0.7937037082854823,0.7928748988858718,0.7933724113236827,0.7931237238314575,0.7929577145354868,0.7929991739053043,0.7925018504658639,0.7938283613016559,0.7960252611785663
lgbm,all,imp,f1,0.6665431855517876,0.6816512346423622,0.744925335215431,0.7678707313848475,0.7951989231741858,0.8145203347312954,0.8155093930900396,0.8208566378934231,0.8299695446187828,0.8311464023774686,0.8320952826202529,0.8348734787856099,0.8370876157212388,0.8375709372390714,0.8404398428255844,0.8417448575387987,0.8418422182404527,0.8411775352411249,0.8414991242596374,0.8411117989309973,0.8409625909368328,0.8417480699498308,0.8415116060571141,0.8430558541238213,0.843624056436823
lgbm,all,pimp,accuracy,0.8897643720176409,0.9003428347278366,0.904427404487083,0.9220223740151207,0.925712127532343,0.9310373463891345,0.9332528903261448,0.9366446016969048,0.937232733768375,0.9389889746071264,0.9390212177107161,0.9398671407848772,0.9412528439316956,0.9412206112129853,0.9413736830382649,0.942066523902267,0.9417120483735996,0.9419215217773909,0.9419698458668402,0.941985977478987,0.9423807366041739,0.9416556695120113,0.9422437847080521,0.9420987540247573,0.9426546728491662
lgbm,all,pimp,precision,0.8310096924880362,0.8955166328676123,0.8540474595963052,0.8557262941267434,0.8616721195701412,0.8659286680754275,0.874304536600472,0.8839066871657005,0.8851139202031062,0.8912997320737148,0.8914678767081778,0.8951164310735326,0.8962478327603745,0.8944751793212451,0.895587462900135,0.8979327113652538,0.8970840071786222,0.897342215376489,0.8978319825274269,0.8972916773122135,0.8983996372047655,0.8966617998221279,0.8975851408558482,0.8981319511077958,0.898280195656527
lgbm,all,pimp,recall,0.5591820047435154,0.5512659969938951,0.6138971360905103,0.7212500317860896,0.7373320749478193,0.7656425875869993,0.7685025968376105,0.7776214245803721,0.7797769681774852,0.7827190370842294,0.7825119120518418,0.7831751588789029,0.7901805209344903,0.7920040803030022,0.7917140708943196,0.7929156538072174,0.7920042349380327,0.7928333364260339,0.7925844427537682,0.7932063161193618,0.7944500628505489,0.7920458661245506,0.7945327238651336,0.7930820067365891,0.7960252611785663
lgbm,all,pimp,f1,0.6665431855517876,0.6816512346423622,0.7137388417631543,0.7822287798422988,0.7941609795674303,0.8120810314789535,0.8174750609150315,0.8268769064637581,0.8286053444193898,0.8330122149753405,0.8330017048284881,0.8350140621501062,0.839464503373072,0.8397017414309692,0.8400199162872901,0.8417448575387987,0.8408299403353754,0.8414034258470322,0.8415130146405178,0.8416402678460513,0.8428119354187948,0.8406960689192996,0.8424692499027234,0.8419258986506362,0.843624056436823
lgbm,top,imp,accuracy,0.7752834538306109,0.8340987998943546,0.8964381620282195,0.9076917645997824,0.9147797229600461,0.9202303240865005,0.9233390808423285,0.924561754228499,0.9254528815204346,0.9305511725133077,0.9300745143426475,0.9315045360944282,0.933349074207284,0.9354629521868807,0.936250499775611,0.9357738458994781,0.9362090275257724,0.9360846751941663,0.9357738587830597,0.9369965837035572,0.9358981595803388,0.9359811169635975,0.9368515403395683,0.9371417043690373,0.9365613806046265
lgbm,top,imp,precision,0.9844977787589027,0.8981843601291513,0.9148278939951583,0.9187870793865753,0.9268617617412884,0.9318438795708929,0.9343373618316161,0.9350402053270711,0.9362114718357015,0.9398123063729449,0.9392824022446964,0.9408788818580837,0.9422610854676929,0.9437144108852813,0.9437950140173852,0.943505782224892,0.9445525045090394,0.9443982976489268,0.9443898998924396,0.9455456024448006,0.943690501055551,0.9447815368881741,0.9446249685438172,0.9455418728041881,0.9446351710322143
lgbm,top,imp,recall,0.5591948394510388,0.7543360006157911,0.8752005788161004,0.8956342063683517,0.9016026202734085,0.9076542793698312,0.9116332105187558,0.913664255734726,0.9143273994717667,0.9210423053952506,0.9206275055170343,0.9219125226196686,0.9242336116076615,0.927093758311633,0.9287100551943969,0.9279225333479033,0.9276737599473279,0.9276321803058198,0.9269278005606723,0.9282538990363832,0.928005228725828,0.927010564665277,0.9289587083232821,0.9285441146251063,0.9283369036843686
lgbm,top,imp,f1,0.7119627075942565,0.8195324728168412,0.8942119660958193,0.9067489205298713,0.9137887409499326,0.9193325783606754,0.922559654201059,0.923923029238968,0.9247887469379975,0.9300329618670867,0.9295670871694082,0.9310094412581726,0.9328871771994752,0.9350539552038173,0.9359217052386057,0.9354062807297463,0.9357946364545162,0.9356996686150648,0.9353351411968545,0.9365821853327221,0.9355464533549306,0.935553919830727,0.9364985871248024,0.936736258741987,0.9361922741057935
lgbm,top,pimp,accuracy,0.7752834538306109,0.8071153574442409,0.846719913078768,0.8687911506971091,0.9065310397694699,0.9177639985484498,0.9228208774148665,0.9266133701517472,0.9289760730413198,0.9300330335037545,0.9309242123300171,0.9339707413857152,0.935048461592969,0.9354007717265503,0.9361675982212068,0.9356287424121073,0.9364784575775861,0.9359188892634671,0.9363540966569252,0.9364992173224053,0.9359189450923215,0.93670643255767,0.9368100895623662,0.9371209789804362,0.936437023978493
lgbm,top,pimp,precision,0.9844977787589027,0.8309934036697953,0.8582524206377846,0.8759131437363109,0.92200722150756,0.9293704369059999,0.9321014161068879,0.935079487725211,0.9372121450589279,0.9382724399095297,0.938857081672564,0.9419081986745377,0.943319387948604,0.9436889658982498,0.9437481831736226,0.9431025159559445,0.944736096754303,0.9443588438181291,0.944599054943548,0.944524250324467,0.9444006457006162,0.9448302541600025,0.9446872793859036,0.945607507131931,0.9444401331495202
lgbm,top,pimp,recall,0.5591948394510388,0.7728628064264944,0.8325491790941687,0.8639672029409521,0.8894582550708263,0.9053743920266056,0.9132913275864084,0.9180162181219884,0.9206275742437144,0.9216639382174636,0.92290735849692,0.9259744927799186,0.9266791302501168,0.9269694317471904,0.9285857286299543,0.928129761470311,0.9280467396406555,0.9273420849887872,0.9279638380826907,0.9282955302229011,0.9273006599823097,0.9284198567873438,0.928792939570692,0.9284197880606637,0.9283369036843686
lgbm,top,pimp,f1,0.7119627075942565,0.8004074262295736,0.8447280331242005,0.868898063209419,0.9051203700254611,0.9169227817936673,0.9222876144841707,0.9261893819664415,0.9285692778440453,0.9296278812204214,0.9305426011998703,0.9336023429119267,0.9346524320972996,0.9349867294831566,0.9358371109398096,0.9352957848771031,0.9360821849887033,0.9355274628361965,0.9359758942697031,0.9361151139284809,0.9355108661817235,0.9363256513803803,0.9364491914624766,0.9367088381927967,0.9360803401898394
lgbm,b,imp,accuracy,0.7633669609133602,0.7837392320096884,0.8088782780663462,0.8548867296960119,0.8756940922335621,0.8903258300784396,0.8911547296702448,0.8952374680326127,0.89791097444971,0.9008538550897665,0.9020973912894105,0.9021594557975045,0.9055998015928403,0.9062215288946532,0.9076516064752882,0.9105737445486344,0.9095582219798202,0.9113197769422536,0.9104700918384656,0.9100555497102268,0.9098275661410881,0.9099104934626558,0.9104286883010635,0.9100970563162833,0.9102835934027471
lgbm,b,imp,precision,0.944633595924096,0.819827776773732,0.8929663835983298,0.8840845519038861,0.8958121709696872,0.905858932284439,0.9066686285215824,0.9106781944870532,0.9126984595356642,0.9182026914439071,0.918119091937322,0.9173236116181875,0.9209053707465051,0.9208945980279324,0.9209575507481759,0.923383488073339,0.9229237487139563,0.924631750769547,0.9238590228780085,0.9241967546767793,0.9234946353629508,0.9229714830405482,0.9243273876212624,0.923959837377429,0.9233546534383048
lgbm,b,imp,recall,0.5591948394510388,0.7271862472414827,0.7018211711163755,0.8166745874165573,0.8502476394103526,0.8711379385707188,0.8720909714447517,0.8764433977371053,0.8800078726412144,0.8801324569307077,0.8829922428196083,0.88398721615022,0.8874275019432469,0.8887538409623386,0.8918211814253777,0.8954271500626444,0.8937688611782914,0.8955931421769451,0.8946810532226286,0.8933545595685064,0.8936447407938892,0.8944325203654335,0.894017943848928,0.8936863376170674,0.8948052938787209
lgbm,b,imp,f1,0.7013121802937275,0.7703106229507146,0.7852426512617026,0.8487568203789865,0.8721771293170185,0.8879604306062424,0.8888365590648618,0.8930231552501455,0.8958531696855327,0.8985527986059593,0.8999986033482781,0.900136291420576,0.9036435032419616,0.904335611456059,0.9059566895533919,0.9089821613347272,0.9079286442359468,0.9096858504785711,0.9088336536848953,0.9083248239968504,0.9081457525078406,0.9083010621035392,0.9087587590168141,0.9083830746548023,0.9086860741261805
lgbm,b,pimp,accuracy,0.7633669609133602,0.7837392320096884,0.8171267937703588,0.8701608772860305,0.8890200361169743,0.891051128494403,0.8948229344934283,0.8966260132400276,0.8986569896652201,0.9025325299704322,0.9044598837471469,0.9068433463815386,0.9087500434820885,0.9080246377029431,0.9094131270815037,0.9105737445486344,0.9095582219798202,0.9113197769422536,0.9104700918384656,0.9093509466211733,0.9099519914796579,0.9094545349134331,0.9105944312864901,0.9100970563162833,0.9102835934027471
lgbm,b,pimp,precision,0.944633595924096,0.819827776773732,0.8403842216451318,0.8889928213262326,0.9044134884525328,0.905195804936687,0.9080726168464901,0.9090951015822728,0.9112163470060544,0.9135602431780967,0.9167382958273912,0.9192813762688482,0.9219538898622668,0.9208304451891859,0.9225282421468204,0.9234612266006501,0.9229237487139563,0.924631750769547,0.9238590228780085,0.922976779162884,0.9230331237100999,0.9233330142999161,0.9240761969658241,0.923959837377429,0.9233546534383048
lgbm,b,pimp,recall,0.5591948394510388,0.7271862472414827,0.7828518685753438,0.8458545441050035,0.8700187589473545,0.8736247447662914,0.8785157305061926,0.8813756710301236,0.8833652740579463,0.8892094301252407,0.8897066676563309,0.8920285470011458,0.893106198528012,0.8928158626675986,0.8938522094596777,0.8953442656863493,0.8937688611782914,0.8955931421769451,0.8946810532226286,0.8932303704574241,0.8944322798220528,0.8930642752531032,0.894680967314278,0.8936863376170674,0.8948052938787209
lgbm,b,pimp,f1,0.7013121802937275,0.7703106229507146,0.8103547023381192,0.8666423079874092,0.8866441444576324,0.8889113248501769,0.8928577422522384,0.8948267371111822,0.896870373672391,0.9009887483863993,0.9028241134285595,0.9052108881706212,0.9070895395858403,0.9063956430165723,0.9077582075181132,0.9089731094234565,0.9079286442359468,0.9096858504785711,0.9088336536848953,0.9076633029661064,0.9083489162851572,0.9077591681127725,0.9089580266076995,0.9083830746548023,0.9086860741261805
dt,all,imp,accuracy,0.8897643720176409,0.8992552412291968,0.9151343021941252,0.9161493365399073,0.9228037829727389,0.9236980560985476,0.9275490121526196,0.9275732108689498,0.9288783442265094,0.9295470084420503,0.929692017706531,0.9299095608107258,0.93013514960029,0.9305943559893585,0.9302318191980021,0.9302640467242729,0.9299901260565999,0.9300868040920267,0.9301270863904362,0.9299901305999846,0.9298531793529177,0.9298934525645576,0.9297403878788829,0.9297645567386847,0.9297242705459453
dt,all,imp,precision,0.8310096924880362,0.8895021436831193,0.8946220815648525,0.8425367941918548,0.8568789426968412,0.8601514988581623,0.8698268619141647,0.8660009629920614,0.8742828041190519,0.8748937262222338,0.8741845244258917,0.874017894416148,0.8750963492870312,0.8765923864424551,0.8741423699551512,0.8742479763653412,0.8724249846666755,0.8731583620474026,0.8738777144172685,0.8741350731198432,0.8734744645204217,0.8738955245377236,0.8732303218422691,0.8737105563320811,0.873329986069616
dt,all,imp,recall,0.5591820047435154,0.549732532942416,0.638350879254783,0.7017289399115764,0.7249385068029104,0.7263894301114953,0.7388660716310697,0.7450857330971884,0.7427229270143274,0.7454995708018822,0.7472403317024493,0.7493136953717391,0.7491469644456266,0.7502660237973002,0.7508463690663962,0.7509293049877014,0.7514266112454718,0.7509706784491688,0.7505562050226833,0.7493956347561819,0.749312819106567,0.7492299347302719,0.7490227409712042,0.7486082675447188,0.748732439474131
dt,all,imp,f1,0.6665431855517876,0.6787252420715357,0.7444354434716189,0.7645567540986927,0.784813584420608,0.7870630476489876,0.7985227033541572,0.800106911178475,0.8023217372361462,0.8044472223076504,0.8050938831140668,0.8060423115592694,0.8063417235545798,0.8075820113937086,0.8068774085594536,0.806969392597607,0.8064363490922594,0.8065396008127383,0.8065453067021057,0.8059651656368944,0.8056213307329274,0.8057228540943522,0.8053360166260957,0.8053008445420003,0.8051974698716287
dt,all,pimp,accuracy,0.8897643720176409,0.8901027431944705,0.8941792484457534,0.899432228133786,0.9101953554197737,0.9106223290901321,0.9115730323528718,0.9221996192435867,0.9273718045693418,0.9273718110598914,0.9289105775942745,0.929667873510818,0.929458410491906,0.9296275743369794,0.9303123818476564,0.9303526660932308,0.9300948595132207,0.9300143020560061,0.9300706919515289,0.9298451154940091,0.9299015170725211,0.9297887243003764,0.9298048357918196,0.9298854003886386,0.929740385931718
dt,all,pimp,precision,0.8310096924880362,0.8291350028005737,0.8324694452587492,0.8635538035629164,0.8369042408600847,0.8402194841704563,0.8369844361890728,0.8599214534831345,0.8706371104779992,0.8702866079834743,0.8728813889217772,0.8760311429141984,0.8768753634546915,0.8751651825156213,0.8742706060601453,0.8744292973053465,0.8733116253709513,0.8731855363138802,0.8736868807419438,0.8736950554476495,0.8736978167784981,0.8734593493828312,0.8738086348670576,0.8737157317121678,0.8732014954562695
dt,all,pimp,recall,0.5591820047435154,0.5643222793340935,0.586456033137256,0.5877009482220064,0.6844027892035883,0.6835740657123279,0.6934384748450042,0.719509855062304,0.7378317350943858,0.7383707756286945,0.7445046833796207,0.7453745569706378,0.7433438038430585,0.7461619929087812,0.7511779237532465,0.7511778893899065,0.7508462659763758,0.7504733550097283,0.7504318269132305,0.7490225863361738,0.7493542441130445,0.7490641487960116,0.7487740191156388,0.7493127847432268,0.7489396847782087
dt,all,pimp,f1,0.6665431855517876,0.6694431972263739,0.686136304726516,0.696339163653102,0.750329918022996,0.7510993628149577,0.7555347926691496,0.7824587086849278,0.7979825496979868,0.7980620647215949,0.8026320459384115,0.8043886675007229,0.8034651513863824,0.8045742974830603,0.8071251951679554,0.8072178073691315,0.8065144793440011,0.8062697773730292,0.8063936894819849,0.8055668563806355,0.8057444016441841,0.8054643307923819,0.8054181903015694,0.8057145231860758,0.8052735174277391
dt,top,imp,accuracy,0.7752834538306109,0.8347412869409869,0.8919205125947748,0.8943867951875528,0.899360703787129,0.8988425604830483,0.9064482284001384,0.9073393041577467,0.9038161255204431,0.9025518896993617,0.9034016220429496,0.9044171016664914,0.9040648817179828,0.9047280941532158,0.9049146441232615,0.9044793766064216,0.9043757668415255,0.9040234223517262,0.9043965051137084,0.9044379601854378,0.9041892555222253,0.9048316953290574,0.9043965351753993,0.903919877004739,0.9038577051334633
dt,top,imp,precision,0.9844977787589027,0.9028606459634222,0.9155373239642299,0.9162302061474232,0.9265362048362116,0.9137657843792292,0.9222638270580639,0.9213331048575861,0.9106614441522047,0.9077133895795922,0.9089090122753698,0.9082070683202413,0.9120839931339064,0.9128916550096313,0.913242001857259,0.912553387174303,0.9124013054959116,0.911931166524418,0.9125267847496084,0.9127199900822663,0.9124183396315306,0.9131270249231551,0.9121142296549125,0.911608551387147,0.911520646524415
dt,top,imp,recall,0.5591948394510388,0.7507711133516008,0.8639260872045356,0.8690236309817128,0.8680291215561919,0.881790110093269,0.8885044662033114,0.8914475660102582,0.8969599612106618,0.8976646158625302,0.8980790377440055,0.901353881236173,0.8960484392514564,0.8965456767825468,0.8965456424192066,0.8963796846682459,0.8962968518369611,0.8960896237145534,0.896213984642336,0.896006670611578,0.8957994596708405,0.8964626893162315,0.8965456767825467,0.896131134629381,0.8960482502530862
dt,top,imp,f1,0.7119627075942565,0.8193867891022798,0.8887381144515871,0.89173900677134,0.8961465185930042,0.897147482809616,0.904910961884621,0.9059673455326,0.9034189030325084,0.90232091459389,0.9031287859565857,0.904353231450308,0.9035542049843344,0.904203337828753,0.9043744829740581,0.9039632297746258,0.9038488107854861,0.9035050256714376,0.9038554671549998,0.9038515500636348,0.903603540142624,0.9042667347560103,0.903858945130659,0.9033867228098886,0.903309208045456
dt,top,pimp,accuracy,0.7752834538306109,0.8347412869409869,0.8919205125947748,0.8902003611697434,0.8947805861600271,0.8966664676869032,0.8970602071250502,0.8961483372664046,0.9006040209658821,0.9035673049049942,0.9047280855641615,0.905370727213775,0.9048939788580421,0.9049353222720626,0.9046244457375743,0.9046659523436309,0.9047488152472896,0.9045622867498804,0.9046866691431774,0.9044379344182742,0.9045622738662985,0.9047695535194723,0.9044172219132548,0.9041478305121868,0.9039613320764686
dt,top,pimp,precision,0.9844977787589027,0.9028606459634222,0.9155373239642299,0.9039488103325336,0.9090912411257929,0.9103009426651745,0.8984742464345491,0.8983663167777696,0.9089172995415977,0.9054757600309591,0.9090812396853956,0.91384080414618,0.9132835911326899,0.9132750240297994,0.9129501591504298,0.9128123517766611,0.9126644072658949,0.9128098126517876,0.9128698036296671,0.9124070332602049,0.9127346602726043,0.9128340026038411,0.9126721268881829,0.911803110094566,0.9116085143782687
dt,top,pimp,recall,0.5591948394510388,0.7507711133516008,0.8639260872045356,0.8742471507636566,0.878184450726063,0.8807123211130424,0.8966705531604307,0.8947224438657658,0.8910333846721633,0.9030947967717703,0.9008150812452451,0.896629007882263,0.8963801142099971,0.8965456596008767,0.8962554955571639,0.8964212471280838,0.8967941924580716,0.8962139330973258,0.8964213158547641,0.8964626721345613,0.8963383283884486,0.8966284408871517,0.8961310143576908,0.8964212127647437,0.896131083084371
dt,top,pimp,f1,0.7119627075942565,0.8193867891022798,0.8887381144515871,0.8885188613383775,0.8931065206240458,0.8950841068317743,0.897234805767031,0.8961989582737709,0.8996514912248784,0.9038249278471273,0.9045635634600167,0.9047392668483264,0.9043099085274837,0.9043959350653031,0.9040778523033689,0.9041096131240443,0.9042243972462958,0.9040037489464205,0.9041318612518815,0.9039281893774032,0.9040123404891794,0.9042246910316185,0.9038753398949424,0.9036382839145704,0.9034089614872732
dt,b,imp,accuracy,0.7633669609133602,0.8097487830383351,0.851570744821337,0.8652697371105132,0.8699535160368385,0.8707410120912416,0.8802536777257902,0.8797977835944764,0.8786579902900739,0.8844194980127075,0.8842329909879346,0.8845230863049673,0.8850204569806468,0.8854141706516302,0.8856214073595314,0.8854763253447968,0.8853934323794472,0.885704235906972,0.8854348015606313,0.8852483160084945,0.8853726855182099,0.8853105093524067,0.8853933937287017,0.885331239035535,0.8852897753747513
dt,b,imp,precision,0.944633595924096,0.9439795300205732,0.9041814261474255,0.8985602661445832,0.8957755481424975,0.8967584998562247,0.8971585561758427,0.8986949442552531,0.9020779930650835,0.8999866493514046,0.8990321562023078,0.8972785613888515,0.8984827584164247,0.8995428172357647,0.9005248042078315,0.89938284691995,0.9026540823827448,0.9034488445395047,0.9038432204286868,0.9034388505042281,0.9040131696525856,0.9038871656999776,0.9037302578012352,0.90401451064511,0.9038830526475878
dt,b,imp,recall,0.5591948394510388,0.6583825759996811,0.7862934429936244,0.8232656650440298,0.8372337270684842,0.8378972316205957,0.8589522858150195,0.8560928779228597,0.849585715571885,0.8649208371734366,0.8656669340134526,0.8684026338812911,0.8680710448311008,0.8676978933210725,0.8669932558508741,0.8680294480079228,0.8638429279215195,0.8635941545209441,0.8625580998172557,0.8625995420054033,0.8622264420403851,0.8622264248587153,0.8625994389153832,0.8621434545740698,0.8621849826705678
dt,b,imp,f1,0.7013121802937275,0.7750434935396375,0.840626893238993,0.858873424179366,0.8651727733936714,0.8659438261090739,0.8774386168510834,0.8765880251136261,0.8746976090585296,0.8818936485299655,0.8818096463291683,0.882405736017164,0.8828090628358993,0.883102041580597,0.8831966112824758,0.8831986447605733,0.8826701015261487,0.8829318137003501,0.8825616931654112,0.8823901922284623,0.8824627806546225,0.8824097269181514,0.8825299963440024,0.8824174358485346,0.8823742251369502
dt,b,pimp,accuracy,0.7633669609133602,0.7937286674726063,0.8472393790972476,0.8612905956294596,0.8699120008417275,0.8759635136963212,0.8770827104479407,0.8800050374804869,0.8785129211589211,0.8780361813922427,0.8778496657784153,0.8844194679510166,0.8848131902110546,0.8847924948841444,0.884647430047519,0.8854349089238129,0.8855799565823294,0.8855177202931446,0.8855799007534747,0.8852482859468036,0.8852483160084945,0.8852483546592401,0.8855177546493624,0.885310513646934,0.8851239937385792
dt,b,pimp,precision,0.944633595924096,0.8531940406134524,0.8817206375651143,0.8834103008425769,0.8992268937198459,0.9109442276136039,0.9124401472910069,0.9014047856668299,0.9020936844405961,0.898147583449951,0.8979965500040648,0.8972604058735861,0.89830601793154,0.8980827906960401,0.9025194771705947,0.901940297287329,0.9027561485861121,0.9032755819819149,0.9036196915369473,0.9034119648552743,0.9035209916783966,0.9038825171244769,0.9039715723587399,0.9039265145370654,0.9037263339352142
dt,b,pimp,recall,0.5591948394510388,0.7097380379494982,0.8019191581806397,0.8323420712434512,0.8331294556365844,0.8332956539309256,0.8340835022291498,0.8533152375984425,0.8492541952483748,0.8529431341702869,0.8526943951330515,0.8681954229405535,0.8678224088838855,0.8680292074645422,0.8623094466883705,0.8647962528839435,0.8641330232385525,0.8633869263985364,0.8631383419963313,0.8626409154668705,0.8625164858124078,0.8621020639309325,0.862599421733713,0.8621849826705678,0.8620191623729673
dt,b,pimp,f1,0.7013121802937275,0.7740620715161695,0.8395811446608811,0.856927013241398,0.8647042717928313,0.8700409012976118,0.8711454286987299,0.8765193026846199,0.8745186939635738,0.8745764840531451,0.8743836635484129,0.8822860249569494,0.8825828636690316,0.8826271397965864,0.8818073455400535,0.8828276729746637,0.8828813760242639,0.8827392786158693,0.882759490916917,0.8824019802563043,0.8823890845651023,0.8823382220010636,0.882640062883247,0.8824049626151643,0.8822110379385532
